AAE	above aerodrome elevation 
ETOPS	"Extended-range Twin-engine Operation Performance Standards, see ETOPS "
ETSO	"European Technical Standard Order, issued by EASA; see TSO "
EUROCAE	European Organisation for Civil Aviation Equipment 
EVAS	emergency vision assurance system 
EW	Empty Weight 
FAA	U.S. Department of Transportations' Federal Aviation Administration
FADEC	full authority digital engine control
FAC	Flight Augmentation computer
FAF	final approach fix
FAF	[first available flight]
FANS	future air navigation system
FAP	final approach point
FAP	forward attendant panel
FAR	Federal Aviation Regulation
FAR/AIM	Federal Aviation Regulation /
0	Aeronautical Information Manual
FAROS	final approach runway occupancy signal
FATO	final approach and take off
FBO	fixed-base operator
FB	Winds aloft
FBW	fly-by-wire
FC	flight crew
FCF 	functional flight check 
FCOM	flight crew operating manual
FCU	fuel control unit
FD	flight director
FD 	upper winds and temperature forecast
FDM	flight data monitoring
FDR	flight data recorder (also known as black box)
FEP	final end point
FFDZ	free fall drop zone (parachutists)
FIC 	flight information centre 
FFS 	full flight simulator 
FIDO	Fog Investigation and Dispersal Operation
FIKI	Flight Into Known Icing
FIR	flight information region
FIS 	Federal Inspection Services 
FISE 	flight information service enroute 
FL	flight level
FM	frequency modulation
FMA	flight mode annunciator
FMC	flight management computer (part of a FMS)
FMGC 	flight Management and guidance computer
FMS	flight management system
F/O	First Officer
FOD	foreign object damage
FOO	flight operation officer
FOQA	flight operational quality assurance
FPA	flight path angle
FPL	filed flight plan
FPM 	feet per minute 
FSDO 	Flight Standards District Office (FAA) 
FSF	Flight Safety Foundation
FSIMS 	Flight Standards Information Management System (FAA) 
FSS	flight service station
FTL	flight time limitations
FVU	flux valve unit
GA	general aviation 
G/A or GA	go-around 
GBST	"ground-based, software tool "
GCA	Ground-controlled approach 
GCU 	generator control unit 
GEA	Ground effect area 
GLOC	g-induced loss of consciousness 
GM	guidance material (EASA) 
GMM	general maintenance manual 
GND	ground 
GP	glide path 
GPP	general practices and procedures 
GPS	Global Positioning System 
GPU	Ground Power Unit 
GPWS	ground proximity warning system 
G/S	glideslope 
GS	groundspeed 
GSE	ground support equipment 
H	Heavy (in the context of wake turbulence categories) 
H	High 
HAT	Height Above Touchdown 
HAZMAT	Hazardous Material 
HBCS 	High Bandwidth Connectivity System 
HDG	Heading 
HDI 	Horizontal Deviation Indicator 
HFE	Human Factors Engineering[9] 
HFES	Human Factors and Ergonomics Society 
HIGE	Hover In Ground Effect 
HIRL	High Intensity Runway lighting 
HIRO	High Intensity Runway Operation 
HIRTA	High Intensity Radio Transmission Area 
HIWAS	Hazardous Inflight Weather Advisory Service 
HL	Height loss 
HLD	hold 
HMG 	hydraulic motor generator 
HMU 	hydro-mechanical unit 
HOGE	Hover Out of Ground Effect 
HPA	human-powered aircraft 
HPC 	high pressure compressor 
HPT 	high pressure turbine 
HPTACC 	high pressure turbine active clearance control 
HSI	horizontal situation indicator 
HUD	head-up display 
HUM	Human Remains 
HW	headwind 
HYD	hydraulic 
HYDIM	hydraulic interface module 
IB	Inboard 
IAC	instrument approach chart 
IAF	initial approach fix 
IAP	instrument approach procedure 
IAS	indicated airspeed 
IATA	International Air Transport Association 
ICA	Instructions for Continuous Airworthiness 
ICAO	International Civil Aviation Organization 
ICAS	International Council of the Aeronautical Sciences 
ICD	Interface Control Document 
ICO	idle cut-off 
ICTS	Ice Contaminated Tailplane Stall 
IDG 	integrated drive generator 
IDT	identify (XPDR) 
IEPR	integrated engine pressure ratio 
IETM	interactive electronic technical manual 
IF	intermediate approach fix 
IFA	International Federation of Airworthiness 
IFATCA	International Federation of Air Traffic Controllers' Associations 
IFE	In Flight Entertainment 
IFP	instrument flight procedure 
IFR	instrument flight rules 
IFSD	in-flight shutdown 
IGV 	Inlet guide vane 
ILS	instrument landing system 
IMC	instrument meteorological conditions 
IML	Inside Mold Line 
IPC	"Illustrated Parts Catalog (e.g. by Boeing, Airbus) "
IR	Initial Release 
IRS	inertial reference system 
IRT	instrument rating test 
IRVR	instrumented runway visual range 
ISA	International Standard Atmosphere 
ISFD	integrated standby flight display 
ISIS	integrated standby instrument system 
ITAR	International Traffic in Arms Regulations 
ITT	interstage turbine temperature 
JAA	Joint Aviation Authorities 
JAR	Joint Aviation Requirements 
KCAS	knots calibrated airspeed 
KIAS	knots indicated airspeed 
KRE	key risk element 
KTAS	knots true airspeed 
L	Light 
LAHSO 	Land And Hold Short Operations 
LAME	licensed aircraft maintenance engineer 
LCC	low-cost carrier 
LCG	load classification group 
LCN	load classification number 
LDA	localizer type directional aid 
LHO	live human organs 
LIR	Loading Instruction Report 
LKP	last known position 
LLC	Life Limited Component 
LLP	Life Limited Part 
LLZ	localizer (ILS) 
LM	land and marine 
LNAV	lateral navigation 
LOA	letter of authorization 
LOC	loss of control; localizer 
LOFT	line-oriented flight training 
LOM	limitation of movement 
LOM	locator outer marker 
LOTC	loss of thrust control 
LPC 	low pressure compressor 
LPT 	low pressure turbine 
LPTACC 	low pressure turbine active clearance control 
LPV	localizer performance with vertical guidance 
LRC	long range cruise 
LRU	line-replaceable unit 
LSAP	loadable software aircraft part (EASA) 
LSAS	longitudinal stability augmentation system 
LTC	line training captain 
LTP	landing threshold point 
LVP	low visibility procedures 
LW	landing weight 
M	medium (in the context of wake turbulence categories) 
MAC	mean aerodynamic chord 
MAC	mid-air collision 
MAP	missed approach point or manifold absolute pressure 
MATS	Manual of Air Traffic Services 
MBC	Main Base Check 
MCAS	Maneuvering Characteristics Augmentation System 
MCC	Multi Crew Coordination 
MCDU	multifunction control display unit 
MCH	Manufacturer Certificate Holder (TCCA); see also PAH and POA 
MCP	mode control panel 
MCT	maximum continuous thrust 
MCDU	multi control display unit 
MDA	minimum descent altitude 
MDDR	maintenance deferred defect record 
MDH	minimum descent height 
MDM	multi-disciplinary measure (EASA) 
ME	Manufacturing Engineer 
MEA	Minimum En-route Altitude 
MEDEVAC	medical evacuation 
MEF	maximum elevation figure 
MMEL	master minimum equipment list 
MEL	minimum equipment list 
MEP	multi-engine piston 
METAR	meteorological aerodrome report (METAR) 
MFD	multi-function display 
MFRA	minimum flap retraction altitude 
MH	magnetic heading 
ML	maintenance laptop 
MLDW	maximum landing weight 
MLG 	Main Landing Gear 
MLS	microwave landing system 
MM	middle marker 
MOCA	Minimum Obstacle Clearance Altitude 
MOE	maintenance organisation exposition 
MORA	Minimum Off Route Altitude 
MP	manifold pressure 
MPL	multi-crew pilot license 
MRB	Material Review Board 
MRO	"maintenance, repair, overhaul "
MRO	maintenance and repair organization 
MROT	Minimum Runway Occupancy Time 
MRP	Material Resources Planning 
MRW	maximum ramp weight 
MSA	minimum safe altitude / minimum sector altitude 
MSDS	Material Safety Data Sheet 
MSL	mean sea level 
MSLW	Max. Structural Landing Weight 
MSTOW	Max. Structural Take-off Weight 
MTOW	maximum take-off weight 
MSZFW	Max. Structural Zero Fuel Weight 
MVA	Minimum Vectoring Altitude 
MX	Maintenance 
MZFW	maximum zero-fuel weight 
NADP	noise abatement departure procedure 
NDB	non-directional beacon 
NDT	non-destructive testing 
NGS	nitrogen generation system 
NHA	next higher assembly 
NIST	National Institute of Standards and Technology 
NLG	nose landing gear 
NLR	Netherlands Aerospace Research Centre 
NNC	non-normal checklist 
NORDO	no radio 
NOTAM	notice to airmen 
NOTAR 	no tail rotor 
NPA	non-precision approach 
NPA	notice of proposed amendment (EASA) 
NPRM	notice of proposed rulemaking (FAA) 
NRR 	noise reduction rating 
NRTC	nonroutine task card 
NTZ	no-transgression zone 
Abbreviation 	0
N 	compressor speed 
Ng 	gas generator speed 
Nh 	high rotor speed 
Np 	power turbine speed 
Nr 	rotor speed (helicopters) 
OAT	outside air temperature 
OBE	overcome by events 
OBS	omni-bearing selector 
OCA	obstacle clearance altitude 
OCCM	on condition / condition monitored components 
OCH	obstacle clearance height 
OEI	one engine inoperative 
OEM	original equipment manufacturer 
OGV	outlet guide vane 
OHM	overhaul manual 
OIS	obstacle identification surface 
OM	outer marker 
OML	outer mold line 
ONS	onboard network system 
ONAT	Onboard Network Access Terminal 
OTS	out of service 
OPC	operational check 
OPS/CHK	operational check 
OW	operational weight 
P	(as a prefix:) prohibited airspace 
PA	pressure altitude 
PAH	production approval holder (FAA); see also POA and MCH 
PANS-OPS	procedures for air navigation services – aircraft operations 
PAOG	Pre Aircraft on Ground 
PAPI	precision approach path indicator 
PAR	precision approach radar 
PATWAS 	Pilot's Automatic Telephone Weather Answering Service 
PAX	passenger 
PBCS	performance-based communication and surveillance 
PBD	place bearing distance (RNAV waypoint) 
PBE	Protective Breathing Equipment 
PBN	Performance-Based Navigation 
PCN	pavement classification number 
PDA	performance degradation allowance 
PDAS	public domain aeronautical software 
PDG	procedure design gradient 
PDU	power drive unit (flap actuation) 
PET	point of equal time 
PF	pilot flying 
PFAF	precision final approach fix 
PFD	primary flight display 
PIC	Pilot In Command 
PICUS	"Pilot In Command, under supervision[10] "
PIO	Pilot Induced Oscillations 
PIP	performance improvement package 
PIREP	Pilot Report 
PJE	Parachute jumping exercise 
PM	pilot monitoring 
PMA	Parts Manufacturer Approval 
PMG 	Permanent magnet generator 
PN	part number (also P/N) 
PNF	pilot not flying 
PNR	Point of No Return 
POA	Production Organisation Approval (EASA); see also PAH and MHC 
POB	persons on board 
POF	Principles Of Flight 
POH	Pilot's Operating Handbook 
PPL	private pilot licence 
PPR	prior permission required 
PS	passenger step 
PSR	point of safe return 
PSR	power supply reset 
PSR	primary surveillance radar 
PSU	passenger service unit 
PTCU	power transfer Control unit 
PTF	permit to fly 
PTT	push to talk 
PYLD 	payload 
QAR	quick access recorder 
QCM	quality and compliance monitoring 
QEC	quick engine change 
QFE	the Q-code for: Atmospheric pressure at aerodrome elevation (or at runway threshold) 
QNE	the Q-code for pressure altitude 
QNH	"the Q-code for: Altimeter sub-scale setting to obtain elevation when on the ground, i.e. altitude above MSL "
QRA	quick reaction alert 
QRH	quick reference handbook 
R	(as a prefix:) restricted airspace 
RA	radio altitude or radar altimeter 
RA	resolution advisory (in the context of TCAS) 
RAAS	Runway Awareness and Advisory System 
RAAS 	remote airport advisory service 
RAIM 	Receiver Autonomous Integrity Monitoring 
RAREPS 	Weather Radar Reports 
RAS	rectified air speed 
RA(T)	restricted area (temporary) 
RAT	ram air turbine 
RCO	remote communications outlet 
RDH	reference datum height for ILS 
REO	Repair engineering order 
RFF	rescue and fire fighting 
RFI	recreational flight instructor 
RGB 	reduction gear box 
RIA 	regulatory impact assessment (EASA) 
RII 	required inspection items 
RMI 	radio magnetic indicator 
RMP 	Radio Management Panel 
RMT 	rule making task (EASA) 
RNAV	area navigation 
RNP	required navigation performance 
RPL	Recreational Pilot Licence 
RPL	repetitive flight planning 
RPT	regular public transport 
RQR	Required 
RSA	runway safety area 
RSR	en-route surveillance radar 
RT	radiotelephony 
RTB	return to base 
RTF	radiotelephony 
RTL	rudder travel limiting 
RTO	rejected take-off 
RTOW	regulatory take-off weight 
RVDT 	rotary variable differential transformer 
RVR	runway visual range 
RVSM	reduced vertical separation minima 
RW	ramp weight 
RWY	runway 
SAR	Surveillance Approach Radar 
SAS	stability augmentation system 
SAT	Saturated Air Temperature 
SB	service bulletin 
SC	special condition 
SCAP	Standard Computerized Airplane Performance 
SCCM	senior cabin crew member 
SDF	Simplified directional facility 
SEP	Safety and Emergency Procedures 
SEP	single-engine piston 
SESAR	Single European Sky ATM Research 
SFCC	Slat Flap Control Computer 
SFO	Senior First Officer 
SFOC	Template:Special Flight Operating Certificate 
SID	standard instrument departure 
SIGMET	Significant Meteorological Information 
SLPC	single lever power control 
SM	service manual 
SMM	safety management document (ICAO) 
SMOH	Since major overhaul 
SMR	surface movement radar 
SMT	software maintenance tool 
SN	serial number 
SOC	start of climb at missed approach 
SODPRO	simultaneous opposite direction parallel runway operations 
SOG	speed over ground (same as ground speed) 
SOP	standard operating procedure 
SOW	Statement of Work 
SR	sunrise 
SRM	structural repair manual 
SS	sunset 
STAR	standard terminal arrival route 
STC	supplemental type certificate 
STOL	short take-off and landing 
STS	speed trim system 
TA	traffic advisory (see TCAS) 
TAA	terminal arrival area 
TAC	thrust asymmetry compensation 
TACAN	tactical air navigation 
TAF	terminal aerodrome forecast 
TAI	thermal anti-ice 
TAM	total airport management 
TAR	terminal approach radar 
TAS	true airspeed 
TAT	total air temperature 
TAWS	terrain awareness and warning system 
TBO	time between overhauls 
TBV 	transient bleed valve 
TC	towering cumulus 
TC 	turn coordinator 
TC 	True Course 
TC 	type certificate 
TCA	terminal control area 
TCAS	traffic collision avoidance system 
TCCA	Transport Canada's Civil Aviation 
TCDS 	type certificate data sheet 
TCH	threshold crossing height 
TCI	thrust computer indicator 
TCU 	terminal control unit 
TDZ	touchdown zone 
TERPS	terminal procedures 
TFC	traffic 
TFR	temporary flight restriction 
TGB	transfer gearbox 
TGL	temporary guidance leaflet 
THLD	threshold 
TH 	True Heading 
THR	runway threshold 
THS	"trimmable horizontal stabilizer, see tailplane "
TIT	turbine inlet temperature 
TLD	time-limited dispatch 
TLB	technical logbook (EASA) 
TLS	transponder landing system 
TMA	terminal manoeuvring area (Europe)/terminal control area (USA and Canada) 
TMG	touring motor glider 
TML	Toolbox Mobile Library (Boeing) 
TMZ	transponder mandatory zone 
TOC 	Top of Climb (also known as T/C) 
TOD	top of descent 
TODA	take-off distance available 
TO/GA	take-off/go around 
TOP	take-off power 
TOR	take-off runway 
TORA	take-off runway available 
TOW	take-off weight 
TOWS	take-off warning system 
TR	transformer rectifier 
TR	thrust reversers 
TP	turning point at missed approach 
TRA	temporary reserved area (airspace) 
TRACON	terminal radar approach control 
TRE	type rating examiner 
TRP	thrust rating panel 
TSO	technical standard order 
TTAF	total time air frame 
TTSN	total time since new 
TTSO	total time since overhaul 
TWB 	Transcribed Weather Broadcasts 
TWC	tail wind component 
TWLU	Terminal Wireless LAN Unit 
TWR	tower 
TWY	taxiway 
UAS	Unmanned Aircraft System[11] 
UAV	unmanned air vehicle 
UHF	ultra-high frequency 
UIR	upper information region 
UTC	Universal Time Coordinated 
V 	magnetic variation 
V&V	video & vision[12] 
VASI	visual approach slope indicator 
VBV 	variable bleed valve 
VCR 	visual control room 
VCS 	vehicle control service 
VDP	visual descent point 
VFR	visual flight rules 
VG	vortex generator 
VGM 	voice generator module 
VHF	very high frequency 
VID	visible impact damage 
VIGV	variable inlet guide vane 
VMC	visual meteorological conditions 
VNAV	vertical navigation 
VNC	VFR navigation chart 
VOR	VHF omni-directional range 
VSCF 	variable speed constant frequency 
VSI	vertical speed indicator 
VSV	variable stator vane 
VTA 	VFR terminal area chart 
VTOL 	vertical take-off and landing 
VVI	vertical velocity indicator 
V1	speed at or above which takeoff cannot be safely interrupted 
V2	speed at or above which takeoff can be done with 1 engine out 
Va	maneuvering speed 
Vfe	maximum flaps extended speed 
Vle	maximum landing gear extension sp 
Vlo	maximum landing gear operating speed 
Vlof	lift-off speed 
Vmc	minimum control speed 
Vmca	velocity of minimum control in the air 
Vmcg	velocity of minimum control on ground 
Vmo	maximum operating speed 
Vne	never-exceed speed 
Vno	normal operating speed limit 
Vr	rotate speed 
Vra	rough air speed 
Vref	reference touchdown speed 
Vs	stall speed 
Vso	stall speed in landing configuration 
Vx	best angle of climb speed 
Vy	best rate of climb speed 
WAC	World Aeronautical Chart 
WAT	"weight, altitude, temperature: variables that affect takeoff performance "
W&B	Weight & Balance 
WCA	Wind Correction Angle 
WDM	Wiring Diagram Manual 
WEF	with effect from 
WOCL	window of circadian low 
WOFW	"weight-off-wheels, indicates aircraft is off ground since lift off "
WONW	"weight-on-wheels, indicates aircraft is on ground since touch down "
WS	wind shear 
WTC	Wake Turbulence Category 
Wx	weather 
XC 	cross-country 
XMIT	transmit 
XPDR	transponder 
XPNDR	transponder 
Y	yaw or yaw angle 
Y/D	yaw damper 
Z	Zulu Time (UTC) 
ZFT	zero-fuel time 
ZFW	zero-fuel weight 
ZULU 	Zulu Time (UTC) 
...T	Bearing (true)
A	Amber
A/A	Air to air
A/G	Air-to-ground
AAA	Amended meterological message
AAAA	Aerial Application Association of Australia
AAC	Airworthiness Advisory Circular
AACC	Area approach control centre
AAD	Assigned altitude deviation
AAIM	Aircraft Autonomous Integrity Monitor
AAIS	Automatic aerodrome information service
AAL	Above aerodrome level
AAR	Authorised Airworthiness Representative
AAT	Administrative Appeals Tribunal
ABAA	Amateur Built Aircraft Acceptance
ABAS	Aircraft Based Augmentation System
ABF	Australian Ballooning Federation
ABI	Advance boundary information
ABM	Abeam
ABN	Aerodrome beacon
ABT	About
ABV	Above...
AC	Advisory Circular
AC	Altocumulus (met)
ACA	Australian Commonwealth Authority
ACARS	Aircraft communication addressing and reporting system (pronounced 'AY-CARS')
ACAS	Airborne Collision Avoidance System
ACC	Area control centre
ACCID	Initial notification of an aircraft accident
ACD	Airways clearance delivery
ACFT	Aircraft
ACJ-XXX	"Advisory Circular Joint (issued by the JAA, can be followed by a country code)"
ACK	Acknowledge
ACL	Altimeter check location
ACN	Aircraft classification number
ACN	Australian company number
ACPT	"Accept, accepted"
ACROB	Acrobatics
Act	the Civil Aviation Act 1988
ACT	"Active, activated, activity"
AD	Aerodrome
AD	Airworthiness Directive
ADA	Advisory area
ADAO	Authorised Design Approval Organisation
ADC	Aerodrome chart
ADDGM	Aerodrome diagrams
ADDN	"Addition, additional"
ADF	Automatic Direction Finding (equipment)
ADF	Australian Defence Force
ADIZ	Air Defence Identification Zone
ADJ	Adjacent
ADO	Aerodrome office
ADQ	Adequate aerodrome
ADR	Advisory route
ADS	"The address (when this abbreviation is used to request a repetition, the question (IMI) precedes the abbreviation, eg IMI ADS) (to be used in AFS as a procedure signal)"
ADS	Automatic Dependent Surveillance
ADS-B	Automatic Dependent Surveillance - Broadcast
ADS-C	Automatic Dependent Surveillance - Contract
ADSU	Automatic Dependent Surveillance Unit
ADZ	Advise
AEB	CASA's Airworthiness Engineering Branch
AEP	Aerodrome emergency plan
AER	Authorised Engineering Representative
AERIS	Automatic en route information service
AFAP	Australian Federation of Air Pilots
AFCS	Automatic flight control system
AFIL	"Flight notification: - filed in the air, or - indicating the position at which ATS services will first be required"
AFIS	Aerodrome flight information service
AFM	Aircraft Flight Manual
AFM	"Yes, affirm, affirmative, that is correct"
AFRU	"Aerodrome Frequency Response Unit (also known as a ""beepback"" unit)"
AFS	Aeronautical fixed service
AFT	After
AFTN	Aeronautical fixed telecommunication network
AFZ	Australian fishing zone(s)
Ag	Agriculture
AGA	Again
AGD	Attorney-General's Department
AGL	Above Ground Level
AH	Artificial Horizon
AH	After hours
AIC	Aeronautical Information Circular
AIDC	Air traffic services inter-facitility data communications
AIP	Aeronautical Information Publication
AIP ENR	Aeronautical Information Publication En-route
AIP ERSA	Aeronautical Information Publication En-route Supplement Australia
AIP GEN	Aeronautical Information Publication General
AIRAC	Aeronautical Information Regulation and Control
AIRC	Aeronautical Information and Control
AIREP	Air-Report
AIRMET	"Information in plain language concerning weather significant to light aircraft operations at or below 10,000FT"
AIS	Aeronautical Information Service
AL	Approach Lights
ALA	Aircraft Landing Area
ALA	Aeroplane landing area
ALA	Alighting area
ALA/HLS	Aircraft Landing Area/Helicopter Landing Site
ALAEA	Australian Licensed Aircraft Engineers Association
ALARP	As Low as Reasonably Practical
ALERFA	Alert phase
ALI	Airworthiness Limitation Item
ALM	Aircraft Landing Minima
ALR	Alerting Message
ALRS	Approach lighting system
ALS	Approach Lighting System
ALT	Altitude
ALTN	"Alternate, Alternating (light alternates in colour)"
ALTN	Alternate (aerodrome)
AMA	Area minimum altitude
AMC	Acceptable Means of Compliance
AMD	"Amend, Amended"
AMDT	Amendment (AIP amendment)
AME	Aircraft Maintenance Engineer
AMM	Aircraft Maintenance Manual
AMO	Approved Maintenance Organisation
AMP	Aircraft Maintenance Program
AMPA	Authorised Maintenance Personnel Assessor
AMRD	Australian Maintenance Requirements Document
AMS	Aircraft Maintenance Specialist
AMSA	Australian Maritime Safety Authority
AMSL	Above Mean Sea Level
AMSS	Aeronautical mobile satellite service
AMT	Aircraft Maintenance Technician
ANA	Air Navigation Act
ANC	"Aeronautical Chart 1:50,000 (followed by name/title)"
